"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"106",7,"Trevor Lawrence",JAC,"QB16","12","5 out of 5 stars","+13"
"107",7,"Brock Bowers",LV,"TE11","10","4 out of 5 stars","-11"
"108",7,"Austin Ekeler",WAS,"RB35","14","3 out of 5 stars","-17"
"109",7,"Brian Thomas Jr.",JAC,"WR47","12","4 out of 5 stars","+14"
"110",7,"Dallas Goedert",PHI,"TE12","5","4 out of 5 stars","-4"
"111",7,"Gus Edwards",LAC,"RB36","5","4 out of 5 stars","+1"
"112",7,"Jerome Ford",CLE,"RB37","10","4 out of 5 stars","+2"
"113",7,"Jameson Williams",DET,"WR48","5","4 out of 5 stars","+2"
"114",7,"Nick Chubb",CLE,"RB38","10","4 out of 5 stars","-27"
"115",7,"Ezekiel Elliott",DAL,"RB39","7","3 out of 5 stars","-7"
"116",7,"Keon Coleman",BUF,"WR49","12","2 out of 5 stars","-5"
"117",7,"Tyler Lockett",SEA,"WR50","10","3 out of 5 stars","+15"
"118",7,"Justin Herbert",LAC,"QB17","5","2 out of 5 stars","+2"
"119",7,"Kirk Cousins",ATL,"QB18","12","3 out of 5 stars","+7"
"120",7,"Pat Freiermuth",PIT,"TE13","9","3 out of 5 stars","+7"
"121",7,"Jakobi Meyers",LV,"WR51","10","3 out of 5 stars","+17"
"122",7,"Dalton Schultz",HOU,"TE14","14","2 out of 5 stars","-4"
"123",8,"Joshua Palmer",LAC,"WR52","5","3 out of 5 stars","+27"
"124",8,"Matthew Stafford",LAR,"QB19","6","4 out of 5 stars","+15"
"125",8,"Curtis Samuel",BUF,"WR53","12","2 out of 5 stars","-4"
"126",8,"Rashid Shaheed",NO,"WR54","12","3 out of 5 stars","+17"
"127",8,"Blake Corum",LAR,"RB40","6","3 out of 5 stars","-11"
"128",8,"Romeo Doubs",GB,"WR55","10","4 out of 5 stars","+8"
"129",8,"Zach Charbonnet",SEA,"RB41","10","4 out of 5 stars","+6"
"130",8,"Chuba Hubbard",CAR,"RB42","11","4 out of 5 stars","+12"
"131",8,"Trey Benson",ARI,"RB43","11","2 out of 5 stars","-22"
"132",8,"Brandin Cooks",DAL,"WR56","7","3 out of 5 stars","+12"
"133",8,"Rico Dowdle",DAL,"RB44","7","3 out of 5 stars","+4"
"134",8,"Khalil Shakir",BUF,"WR57","12","2 out of 5 stars","-1"
"135",8,"Aaron Rodgers",NYJ,"QB20","12","2 out of 5 stars","-1"
"136",8,"Mike Williams",NYJ,"WR58","12","4 out of 5 stars","+18"
"137",8,"T.J. Hockenson",MIN,"TE15","6","2 out of 5 stars","-20"
"138",8,"Deshaun Watson",CLE,"QB21","10","4 out of 5 stars","+30"
"139",8,"Jerry Jeudy",CLE,"WR59","10","3 out of 5 stars","+6"
"140",8,"Ty Chandler",MIN,"RB45","6","3 out of 5 stars","+9"
"141",8,"Luke Musgrave",GB,"TE16","10","3 out of 5 stars","+25"
"142",8,"Baker Mayfield",TB,"QB22","11","2 out of 5 stars","+9"
"143",8,"Josh Downs",IND,"WR60","14","4 out of 5 stars","+17"
"144",8,"Tyler Allgeier",ATL,"RB46","12","4 out of 5 stars","+15"
"145",8,"Antonio Gibson",NE,"RB47","14","2 out of 5 stars","+7"
"146",8,"Geno Smith",SEA,"QB23","10","3 out of 5 stars","+43"
"147",8,"J.K. Dobbins",LAC,"RB48","5","4 out of 5 stars","-16"
"148",8,"Cole Kmet",CHI,"TE17","7","3 out of 5 stars","-19"
"149",8,"Jaleel McLaughlin",DEN,"RB49","14","4 out of 5 stars","+15"
"150",8,"Gabe Davis",JAC,"WR61","12","4 out of 5 stars","+5"
"151",8,"Jahan Dotson",WAS,"WR62","14","3 out of 5 stars","-3"
"152",8,"Hunter Henry",NE,"TE18","14","3 out of 5 stars","+35"
"153",8,"Dontayvion Wicks",GB,"WR63","10","4 out of 5 stars","+3"
